Number of clusters	Members in cluster	Percentage of total
1	23	.05200
2	22	.04900
3	22	.04900
4	21	.04700
5	21	.04700
6	21	.04700
7	20	.04500
8	20	.04500
9	20	.04500
10	20	.04500
11	20	.04500
12	19	.04300
13	19	.04300
14	19	.04300
15	18	.04000
16	18	.04000
17	18	.04000
18	18	.04000
19	18	.04000
20	18	.04000
21	18	.04000
22	18	.04000
23	17	.03800
24	17	.03800
25	17	.03800
26	17	.03800
27	17	.03800
28	17	.03800
29	17	.03800
30	17	.03800
31	17	.03800
32	17	.03800
33	17	.03800
34	17	.03800
35	17	.03800
36	17	.03800
37	17	.03800
38	17	.03800
39	17	.03800
40	17	.03800
41	17	.03800
42	17	.03800
43	17	.03800
44	17	.03800
45	17	.03800
46	16	.03600
47	16	.03600
48	16	.03600
49	16	.03600
50	16	.03600
51	16	.03600
52	16	.03600
53	16	.03600
54	16	.03600
55	16	.03600
56	16	.03600
57	16	.03600
58	16	.03600
59	16	.03600
60	16	.03600
61	16	.03600
62	16	.03600
63	16	.03600
64	16	.03600
65	16	.03600
66	16	.03600
67	16	.03600
68	16	.03600
69	16	.03600
70	16	.03600
71	16	.03600
72	16	.03600
73	16	.03600
74	16	.03600
75	16	.03600
76	16	.03600
77	16	.03600
78	16	.03600
79	16	.03600
80	16	.03600
81	16	.03600
82	16	.03600
83	16	.03600
84	16	.03600
85	16	.03600
86	16	.03600
87	16	.03600
88	16	.03600
89	16	.03600
90	15	.03400
91	15	.03400
92	15	.03400
93	15	.03400
94	15	.03400
95	15	.03400
96	15	.03400
97	15	.03400
98	15	.03400
99	15	.03400
100	15	.03400
101	15	.03400
102	15	.03400
103	15	.03400
104	15	.03400
105	15	.03400
106	15	.03400
107	15	.03400
108	15	.03400
109	15	.03400
110	15	.03400
111	15	.03400
112	15	.03400
113	15	.03400
114	15	.03400
115	15	.03400
116	15	.03400
117	15	.03400
118	15	.03400
119	15	.03400
120	15	.03400
121	15	.03400
122	15	.03400
123	15	.03400
124	15	.03400
125	15	.03400
126	15	.03400
127	15	.03400
128	15	.03400
129	15	.03400
130	15	.03400
131	15	.03400
132	15	.03400
133	15	.03400
134	15	.03400
135	15	.03400
136	15	.03400
137	15	.03400
138	15	.03400
139	15	.03400
140	15	.03400
141	15	.03400
142	15	.03400
143	15	.03400
144	15	.03400
145	15	.03400
146	15	.03400
147	15	.03400
148	15	.03400
149	15	.03400
150	15	.03400
151	15	.03400
152	15	.03400
153	15	.03400
154	15	.03400
155	15	.03400
156	15	.03400
157	15	.03400
158	14	.03100
159	14	.03100
160	14	.03100
161	14	.03100
162	14	.03100
163	14	.03100
164	14	.03100
165	14	.03100
166	14	.03100
167	14	.03100
168	14	.03100
169	14	.03100
170	14	.03100
171	14	.03100
172	14	.03100
173	14	.03100
174	14	.03100
175	14	.03100
176	14	.03100
177	14	.03100
178	14	.03100
179	14	.03100
180	14	.03100
181	14	.03100
182	14	.03100
183	14	.03100
184	14	.03100
185	14	.03100
186	14	.03100
187	14	.03100
188	14	.03100
189	14	.03100
190	14	.03100
191	14	.03100
192	14	.03100
193	14	.03100
194	14	.03100
195	14	.03100
196	14	.03100
197	14	.03100
198	14	.03100
199	14	.03100
200	14	.03100
201	14	.03100
202	14	.03100
203	14	.03100
204	14	.03100
205	14	.03100
206	14	.03100
207	14	.03100
208	14	.03100
209	14	.03100
210	14	.03100
211	14	.03100
212	14	.03100
213	14	.03100
214	14	.03100
215	14	.03100
216	14	.03100
217	14	.03100
218	14	.03100
219	14	.03100
220	14	.03100
221	14	.03100
222	14	.03100
223	14	.03100
224	14	.03100
225	14	.03100
226	14	.03100
227	14	.03100
228	14	.03100
229	14	.03100
230	14	.03100
231	14	.03100
232	14	.03100
233	14	.03100
234	14	.03100
235	14	.03100
236	14	.03100
237	14	.03100
238	14	.03100
239	14	.03100
240	14	.03100
241	14	.03100
242	14	.03100
243	14	.03100
244	14	.03100
245	14	.03100
246	14	.03100
247	14	.03100
248	14	.03100
249	14	.03100
250	14	.03100
251	14	.03100
252	14	.03100
253	14	.03100
254	14	.03100
255	14	.03100
256	14	.03100
257	14	.03100
258	13	.02900
259	13	.02900
260	13	.02900
261	13	.02900
262	13	.02900
263	13	.02900
264	13	.02900
265	13	.02900
266	13	.02900
267	13	.02900
268	13	.02900
269	13	.02900
270	13	.02900
271	13	.02900
272	13	.02900
273	13	.02900
274	13	.02900
275	13	.02900
276	13	.02900
277	13	.02900
278	13	.02900
279	13	.02900
280	13	.02900
281	13	.02900
282	13	.02900
283	13	.02900
284	13	.02900
285	13	.02900
286	13	.02900
287	13	.02900
288	13	.02900
289	13	.02900
290	13	.02900
291	13	.02900
292	13	.02900
293	13	.02900
294	13	.02900
295	13	.02900
296	13	.02900
297	13	.02900
298	13	.02900
299	13	.02900
300	13	.02900
301	13	.02900
302	13	.02900
303	13	.02900
304	13	.02900
305	13	.02900
306	13	.02900
307	13	.02900
308	13	.02900
309	13	.02900
310	13	.02900
311	13	.02900
312	13	.02900
313	13	.02900
314	13	.02900
315	13	.02900
316	13	.02900
317	13	.02900
318	13	.02900
319	13	.02900
320	13	.02900
321	13	.02900
322	13	.02900
323	13	.02900
324	13	.02900
325	13	.02900
326	13	.02900
327	13	.02900
328	13	.02900
329	13	.02900
330	13	.02900
331	13	.02900
332	13	.02900
333	13	.02900
334	13	.02900
335	13	.02900
336	13	.02900
337	13	.02900
338	13	.02900
339	13	.02900
340	13	.02900
341	13	.02900
342	13	.02900
343	13	.02900
344	13	.02900
345	13	.02900
346	13	.02900
347	13	.02900
348	13	.02900
349	13	.02900
350	13	.02900
351	13	.02900
352	13	.02900
353	13	.02900
354	13	.02900
355	13	.02900
356	13	.02900
357	13	.02900
358	13	.02900
359	13	.02900
360	13	.02900
361	13	.02900
362	13	.02900
363	13	.02900
364	13	.02900
365	13	.02900
366	13	.02900
367	13	.02900
368	13	.02900
369	13	.02900
370	13	.02900
371	13	.02900
372	13	.02900
373	13	.02900
374	13	.02900
375	13	.02900
376	13	.02900
377	13	.02900
378	13	.02900
379	13	.02900
380	13	.02900
381	13	.02900
382	13	.02900
383	13	.02900
384	13	.02900
385	13	.02900
386	13	.02900
387	13	.02900
388	12	.02700
389	12	.02700
390	12	.02700
391	12	.02700
392	12	.02700
393	12	.02700
394	12	.02700
395	12	.02700
396	12	.02700
397	12	.02700
398	12	.02700
399	12	.02700
400	12	.02700
401	12	.02700
402	12	.02700
403	12	.02700
404	12	.02700
405	12	.02700
406	12	.02700
407	12	.02700
408	12	.02700
409	12	.02700
410	12	.02700
411	12	.02700
412	12	.02700
413	12	.02700
414	12	.02700
415	12	.02700
416	12	.02700
417	12	.02700
418	12	.02700
419	12	.02700
420	12	.02700
421	12	.02700
422	12	.02700
423	12	.02700
424	12	.02700
425	12	.02700
426	12	.02700
427	12	.02700
428	12	.02700
429	12	.02700
430	12	.02700
431	12	.02700
432	12	.02700
433	12	.02700
434	12	.02700
435	12	.02700
436	12	.02700
437	12	.02700
438	12	.02700
439	12	.02700
440	12	.02700
441	12	.02700
442	12	.02700
443	12	.02700
444	12	.02700
445	12	.02700
446	12	.02700
447	12	.02700
448	12	.02700
449	12	.02700
450	12	.02700
451	12	.02700
452	12	.02700
453	12	.02700
454	12	.02700
455	12	.02700
456	12	.02700
457	12	.02700
458	12	.02700
459	12	.02700
460	12	.02700
461	12	.02700
462	12	.02700
463	12	.02700
464	12	.02700
465	12	.02700
466	12	.02700
467	12	.02700
468	12	.02700
469	12	.02700
470	12	.02700
471	12	.02700
472	12	.02700
473	12	.02700
474	12	.02700
475	12	.02700
476	12	.02700
477	12	.02700
478	12	.02700
479	12	.02700
480	12	.02700
481	12	.02700
482	12	.02700
483	12	.02700
484	12	.02700
485	12	.02700
486	12	.02700
487	12	.02700
488	12	.02700
489	12	.02700
490	12	.02700
491	12	.02700
492	12	.02700
493	12	.02700
494	12	.02700
495	12	.02700
496	12	.02700
497	12	.02700
498	12	.02700
499	12	.02700
500	12	.02700
501	12	.02700
502	12	.02700
503	12	.02700
504	12	.02700
505	12	.02700
506	12	.02700
507	12	.02700
508	12	.02700
509	12	.02700
510	12	.02700
511	12	.02700
512	12	.02700
513	12	.02700
514	12	.02700
515	12	.02700
516	12	.02700
517	12	.02700
518	12	.02700
519	12	.02700
520	12	.02700
521	12	.02700
522	12	.02700
523	12	.02700
524	12	.02700
525	12	.02700
526	12	.02700
527	12	.02700
528	12	.02700
529	12	.02700
530	12	.02700
531	12	.02700
532	12	.02700
533	12	.02700
534	12	.02700
535	12	.02700
536	12	.02700
537	12	.02700
538	12	.02700
539	12	.02700
540	12	.02700
541	12	.02700
542	12	.02700
543	12	.02700
544	12	.02700
545	12	.02700
546	12	.02700
547	12	.02700
548	12	.02700
549	12	.02700
550	12	.02700
551	12	.02700
552	12	.02700
553	12	.02700
554	12	.02700
555	12	.02700
556	12	.02700
557	12	.02700
558	12	.02700
559	12	.02700
560	12	.02700
561	12	.02700
562	12	.02700
563	12	.02700
564	12	.02700
565	12	.02700
566	12	.02700
567	12	.02700
568	12	.02700
569	12	.02700
570	12	.02700
571	12	.02700
572	12	.02700
573	12	.02700
574	12	.02700
575	12	.02700
576	12	.02700
577	12	.02700
578	12	.02700
579	12	.02700
580	12	.02700
581	11	.02400
582	11	.02400
583	11	.02400
584	11	.02400
585	11	.02400
586	11	.02400
587	11	.02400
588	11	.02400
589	11	.02400
590	11	.02400
591	11	.02400
592	11	.02400
593	11	.02400
594	11	.02400
595	11	.02400
596	11	.02400
597	11	.02400
598	11	.02400
599	11	.02400
600	11	.02400
601	11	.02400
602	11	.02400
603	11	.02400
604	11	.02400
605	11	.02400
606	11	.02400
607	11	.02400
608	11	.02400
609	11	.02400
610	11	.02400
611	11	.02400
612	11	.02400
613	11	.02400
614	11	.02400
615	11	.02400
616	11	.02400
617	11	.02400
618	11	.02400
619	11	.02400
620	11	.02400
621	11	.02400
622	11	.02400
623	11	.02400
624	11	.02400
625	11	.02400
626	11	.02400
627	11	.02400
628	11	.02400
629	11	.02400
630	11	.02400
631	11	.02400
632	11	.02400
633	11	.02400
634	11	.02400
635	11	.02400
636	11	.02400
637	11	.02400
638	11	.02400
639	11	.02400
640	11	.02400
641	11	.02400
642	11	.02400
643	11	.02400
644	11	.02400
645	11	.02400
646	11	.02400
647	11	.02400
648	11	.02400
649	11	.02400
650	11	.02400
651	11	.02400
652	11	.02400
653	11	.02400
654	11	.02400
655	11	.02400
656	11	.02400
657	11	.02400
658	11	.02400
659	11	.02400
660	11	.02400
661	11	.02400
662	11	.02400
663	11	.02400
664	11	.02400
665	11	.02400
666	11	.02400
667	11	.02400
668	11	.02400
669	11	.02400
670	11	.02400
671	11	.02400
672	11	.02400
673	11	.02400
674	11	.02400
675	11	.02400
676	11	.02400
677	11	.02400
678	11	.02400
679	11	.02400
680	11	.02400
681	11	.02400
682	11	.02400
683	11	.02400
684	11	.02400
685	11	.02400
686	11	.02400
687	11	.02400
688	11	.02400
689	11	.02400
690	11	.02400
691	11	.02400
692	11	.02400
693	11	.02400
694	11	.02400
695	11	.02400
696	11	.02400
697	11	.02400
698	11	.02400
699	11	.02400
700	11	.02400
701	11	.02400
702	11	.02400
703	11	.02400
704	11	.02400
705	11	.02400
706	11	.02400
707	11	.02400
708	11	.02400
709	11	.02400
710	11	.02400
711	11	.02400
712	11	.02400
713	11	.02400
714	11	.02400
715	11	.02400
716	11	.02400
717	11	.02400
718	11	.02400
719	11	.02400
720	11	.02400
721	11	.02400
722	11	.02400
723	11	.02400
724	11	.02400
725	11	.02400
726	11	.02400
727	11	.02400
728	11	.02400
729	11	.02400
730	11	.02400
731	11	.02400
732	11	.02400
733	11	.02400
734	11	.02400
735	11	.02400
736	11	.02400
737	11	.02400
738	11	.02400
739	11	.02400
740	11	.02400
741	11	.02400
742	11	.02400
743	11	.02400
744	11	.02400
745	11	.02400
746	11	.02400
747	11	.02400
748	11	.02400
749	11	.02400
750	11	.02400
751	11	.02400
752	11	.02400
753	11	.02400
754	11	.02400
755	11	.02400
756	11	.02400
757	11	.02400
758	11	.02400
759	11	.02400
760	11	.02400
761	11	.02400
762	11	.02400
763	11	.02400
764	11	.02400
765	11	.02400
766	11	.02400
767	11	.02400
768	11	.02400
769	11	.02400
770	11	.02400
771	11	.02400
772	11	.02400
773	11	.02400
774	11	.02400
