Number of clusters	Members in cluster	Percentage of total
1	65	.14700
2	58	.13100
3	53	.12000
4	52	.11700
5	51	.11500
6	50	.11300
7	50	.11300
8	49	.11100
9	49	.11100
10	49	.11100
11	48	.10800
12	48	.10800
13	47	.10600
14	46	.10400
15	46	.10400
16	46	.10400
17	45	.10200
18	44	.09900
19	44	.09900
20	44	.09900
21	43	.09700
22	42	.09500
23	42	.09500
24	41	.09200
25	41	.09200
26	41	.09200
27	41	.09200
28	41	.09200
29	40	.09000
30	40	.09000
31	40	.09000
32	40	.09000
33	40	.09000
34	39	.08800
35	39	.08800
36	39	.08800
37	38	.08600
38	38	.08600
39	38	.08600
40	38	.08600
41	38	.08600
42	38	.08600
43	38	.08600
44	38	.08600
45	38	.08600
46	38	.08600
47	38	.08600
48	38	.08600
49	38	.08600
50	38	.08600
51	38	.08600
52	37	.08300
53	37	.08300
54	37	.08300
55	37	.08300
56	37	.08300
57	37	.08300
58	37	.08300
59	37	.08300
60	37	.08300
61	37	.08300
62	37	.08300
63	36	.08100
64	36	.08100
65	36	.08100
66	36	.08100
67	36	.08100
68	36	.08100
69	36	.08100
70	36	.08100
71	36	.08100
72	36	.08100
73	36	.08100
74	36	.08100
75	36	.08100
76	36	.08100
77	36	.08100
78	36	.08100
79	36	.08100
80	36	.08100
81	35	.07900
82	35	.07900
83	35	.07900
84	35	.07900
85	35	.07900
86	35	.07900
87	35	.07900
88	35	.07900
89	35	.07900
90	35	.07900
91	35	.07900
92	35	.07900
93	35	.07900
94	35	.07900
95	35	.07900
96	35	.07900
97	35	.07900
98	34	.07700
99	34	.07700
100	34	.07700
101	34	.07700
102	34	.07700
103	34	.07700
104	34	.07700
105	34	.07700
106	34	.07700
107	33	.07400
108	33	.07400
109	33	.07400
110	33	.07400
111	33	.07400
112	33	.07400
113	33	.07400
114	33	.07400
115	33	.07400
116	33	.07400
117	33	.07400
118	33	.07400
119	33	.07400
120	33	.07400
121	33	.07400
122	33	.07400
123	32	.07200
124	32	.07200
125	32	.07200
126	32	.07200
127	32	.07200
128	32	.07200
129	32	.07200
130	32	.07200
131	32	.07200
132	32	.07200
133	32	.07200
134	32	.07200
135	32	.07200
136	32	.07200
137	32	.07200
138	32	.07200
139	31	.07000
140	31	.07000
141	31	.07000
142	31	.07000
143	31	.07000
