Number of clusters	Members in cluster	Percentage of total
398	1	.01300
399	1	.01300
400	1	.01300
401	1	.01300
402	1	.01300
403	1	.01300
404	1	.01300
405	1	.01300
406	1	.01300
407	1	.01300
408	1	.01300
409	1	.01300
410	1	.01300
411	1	.01300
412	1	.01300
413	1	.01300
414	1	.01300
415	1	.01300
416	1	.01300
417	1	.01300
418	1	.01300
419	1	.01300
420	1	.01300
421	1	.01300
422	1	.01300
423	1	.01300
424	1	.01300
425	1	.01300
426	1	.01300
427	1	.01300
428	1	.01300
429	1	.01300
430	1	.01300
431	1	.01300
432	1	.01300
433	1	.01300
434	1	.01300
435	1	.01300
436	1	.01300
437	1	.01300
438	1	.01300
439	1	.01300
440	1	.01300
441	1	.01300
442	1	.01300
443	1	.01300
444	1	.01300
445	1	.01300
446	1	.01300
447	1	.01300
448	1	.01300
449	1	.01300
450	1	.01300
451	1	.01300
452	1	.01300
453	1	.01300
454	1	.01300
455	1	.01300
456	1	.01300
457	1	.01300
458	1	.01300
459	1	.01300
460	1	.01300
461	1	.01300
462	1	.01300
463	1	.01300
464	1	.01300
465	1	.01300
466	1	.01300
467	1	.01300
468	1	.01300
469	1	.01300
470	1	.01300
471	1	.01300
472	1	.01300
473	1	.01300
474	1	.01300
475	1	.01300
476	1	.01300
477	1	.01300
478	1	.01300
479	1	.01300
480	1	.01300
481	1	.01300
482	1	.01300
483	1	.01300
484	1	.01300
485	1	.01300
486	1	.01300
487	1	.01300
488	1	.01300
489	1	.01300
490	1	.01300
491	1	.01300
492	1	.01300
493	1	.01300
494	1	.01300
495	1	.01300
496	1	.01300
497	1	.01300
498	1	.01300
499	1	.01300
500	1	.01300
501	1	.01300
502	1	.01300
503	1	.01300
504	1	.01300
505	1	.01300
506	1	.01300
507	1	.01300
508	1	.01300
509	1	.01300
510	1	.01300
511	1	.01300
512	1	.01300
513	1	.01300
514	1	.01300
515	1	.01300
516	1	.01300
517	1	.01300
518	1	.01300
519	1	.01300
520	1	.01300
521	1	.01300
522	1	.01300
523	1	.01300
524	1	.01300
525	1	.01300
526	1	.01300
527	1	.01300
528	1	.01300
529	1	.01300
530	1	.01300
531	1	.01300
532	1	.01300
533	1	.01300
534	1	.01300
535	1	.01300
536	1	.01300
537	1	.01300
538	1	.01300
539	1	.01300
540	1	.01300
541	1	.01300
542	1	.01300
543	1	.01300
544	1	.01300
545	1	.01300
546	1	.01300
547	1	.01300
548	1	.01300
549	1	.01300
550	1	.01300
551	1	.01300
552	1	.01300
553	1	.01300
554	1	.01300
555	1	.01300
556	1	.01300
557	1	.01300
558	1	.01300
559	1	.01300
560	1	.01300
561	1	.01300
562	1	.01300
563	1	.01300
564	1	.01300
565	1	.01300
566	1	.01300
567	1	.01300
568	1	.01300
569	1	.01300
570	1	.01300
571	1	.01300
572	1	.01300
573	1	.01300
574	1	.01300
575	1	.01300
576	1	.01300
577	1	.01300
578	1	.01300
579	1	.01300
580	1	.01300
581	1	.01300
582	1	.01300
583	1	.01300
584	1	.01300
585	1	.01300
586	1	.01300
587	1	.01300
588	1	.01300
589	1	.01300
590	1	.01300
591	1	.01300
592	1	.01300
593	1	.01300
594	1	.01300
595	1	.01300
596	1	.01300
597	1	.01300
598	1	.01300
599	1	.01300
600	1	.01300
601	1	.01300
602	1	.01300
603	1	.01300
604	1	.01300
605	1	.01300
606	1	.01300
607	1	.01300
608	1	.01300
609	1	.01300
610	1	.01300
611	1	.01300
612	1	.01300
613	1	.01300
614	1	.01300
615	1	.01300
616	1	.01300
617	1	.01300
618	1	.01300
619	1	.01300
620	1	.01300
621	1	.01300
622	1	.01300
623	1	.01300
624	1	.01300
625	1	.01300
626	1	.01300
627	1	.01300
628	1	.01300
629	1	.01300
630	1	.01300
631	1	.01300
632	1	.01300
633	1	.01300
634	1	.01300
635	1	.01300
636	1	.01300
637	1	.01300
638	1	.01300
639	1	.01300
640	1	.01300
641	1	.01300
642	1	.01300
643	1	.01300
644	1	.01300
645	1	.01300
646	1	.01300
647	1	.01300
648	1	.01300
649	1	.01300
650	1	.01300
651	1	.01300
652	1	.01300
653	1	.01300
654	1	.01300
655	1	.01300
656	1	.01300
657	1	.01300
658	1	.01300
659	1	.01300
660	1	.01300
661	1	.01300
662	1	.01300
663	1	.01300
664	1	.01300
665	1	.01300
666	1	.01300
667	1	.01300
668	1	.01300
669	1	.01300
670	1	.01300
671	1	.01300
672	1	.01300
673	1	.01300
674	1	.01300
675	1	.01300
676	1	.01300
677	1	.01300
678	1	.01300
679	1	.01300
680	1	.01300
681	1	.01300
682	1	.01300
683	1	.01300
684	1	.01300
685	1	.01300
686	1	.01300
687	1	.01300
688	1	.01300
689	1	.01300
690	1	.01300
691	1	.01300
692	1	.01300
693	1	.01300
694	1	.01300
695	1	.01300
696	1	.01300
697	1	.01300
698	1	.01300
699	1	.01300
700	1	.01300
701	1	.01300
702	1	.01300
703	1	.01300
704	1	.01300
705	1	.01300
706	1	.01300
707	1	.01300
708	1	.01300
709	1	.01300
710	1	.01300
711	1	.01300
712	1	.01300
713	1	.01300
714	1	.01300
715	1	.01300
716	1	.01300
717	1	.01300
718	1	.01300
719	1	.01300
720	1	.01300
721	1	.01300
722	1	.01300
723	1	.01300
724	1	.01300
725	1	.01300
726	1	.01300
727	1	.01300
728	1	.01300
729	1	.01300
730	1	.01300
731	1	.01300
732	1	.01300
733	1	.01300
734	1	.01300
735	1	.01300
736	1	.01300
737	1	.01300
738	1	.01300
739	1	.01300
740	1	.01300
741	1	.01300
742	1	.01300
743	1	.01300
744	1	.01300
745	1	.01300
746	1	.01300
747	1	.01300
748	1	.01300
749	1	.01300
750	1	.01300
751	1	.01300
752	1	.01300
753	1	.01300
754	1	.01300
755	1	.01300
756	1	.01300
757	1	.01300
758	1	.01300
759	1	.01300
760	1	.01300
761	1	.01300
762	1	.01300
763	1	.01300
764	1	.01300
765	1	.01300
766	1	.01300
767	1	.01300
768	1	.01300
769	1	.01300
770	1	.01300
771	1	.01300
772	1	.01300
773	1	.01300
774	1	.01300
775	1	.01300
776	1	.01300
777	1	.01300
778	1	.01300
779	1	.01300
780	1	.01300
781	1	.01300
782	1	.01300
783	1	.01300
784	1	.01300
785	1	.01300
786	1	.01300
787	1	.01300
788	1	.01300
789	1	.01300
790	1	.01300
791	1	.01300
792	1	.01300
793	1	.01300
794	1	.01300
795	1	.01300
796	1	.01300
797	1	.01300
798	1	.01300
799	1	.01300
800	1	.01300
801	1	.01300
802	1	.01300
803	1	.01300
804	1	.01300
805	1	.01300
806	1	.01300
807	1	.01300
808	1	.01300
809	1	.01300
810	1	.01300
811	1	.01300
812	1	.01300
813	1	.01300
814	1	.01300
815	1	.01300
816	1	.01300
817	1	.01300
818	1	.01300
819	1	.01300
820	1	.01300
821	1	.01300
822	1	.01300
823	1	.01300
824	1	.01300
825	1	.01300
826	1	.01300
827	1	.01300
828	1	.01300
829	1	.01300
830	1	.01300
831	1	.01300
832	1	.01300
833	1	.01300
834	1	.01300
835	1	.01300
836	1	.01300
837	1	.01300
838	1	.01300
839	1	.01300
840	1	.01300
841	1	.01300
842	1	.01300
843	1	.01300
844	1	.01300
845	1	.01300
846	1	.01300
847	1	.01300
848	1	.01300
849	1	.01300
850	1	.01300
851	1	.01300
852	1	.01300
853	1	.01300
854	1	.01300
855	1	.01300
856	1	.01300
857	1	.01300
858	1	.01300
859	1	.01300
860	1	.01300
861	1	.01300
862	1	.01300
863	1	.01300
864	1	.01300
865	1	.01300
866	1	.01300
867	1	.01300
868	1	.01300
869	1	.01300
870	1	.01300
871	1	.01300
872	1	.01300
873	1	.01300
874	1	.01300
875	1	.01300
876	1	.01300
877	1	.01300
878	1	.01300
879	1	.01300
880	1	.01300
881	1	.01300
882	1	.01300
883	1	.01300
884	1	.01300
885	1	.01300
886	1	.01300
887	1	.01300
888	1	.01300
889	1	.01300
890	1	.01300
891	1	.01300
892	1	.01300
893	1	.01300
894	1	.01300
895	1	.01300
896	1	.01300
897	1	.01300
898	1	.01300
899	1	.01300
900	1	.01300
901	1	.01300
902	1	.01300
903	1	.01300
904	1	.01300
905	1	.01300
906	1	.01300
907	1	.01300
908	1	.01300
909	1	.01300
910	1	.01300
911	1	.01300
912	1	.01300
913	1	.01300
914	1	.01300
915	1	.01300
916	1	.01300
917	1	.01300
918	1	.01300
919	1	.01300
920	1	.01300
921	1	.01300
922	1	.01300
923	1	.01300
924	1	.01300
925	1	.01300
926	1	.01300
927	1	.01300
928	1	.01300
929	1	.01300
930	1	.01300
931	1	.01300
932	1	.01300
933	1	.01300
934	1	.01300
935	1	.01300
936	1	.01300
937	1	.01300
938	1	.01300
939	1	.01300
940	1	.01300
941	1	.01300
942	1	.01300
943	1	.01300
944	1	.01300
945	1	.01300
946	1	.01300
947	1	.01300
948	1	.01300
949	1	.01300
950	1	.01300
951	1	.01300
952	1	.01300
953	1	.01300
954	1	.01300
955	1	.01300
956	1	.01300
957	1	.01300
958	1	.01300
959	1	.01300
960	1	.01300
961	1	.01300
962	1	.01300
963	1	.01300
964	1	.01300
965	1	.01300
966	1	.01300
967	1	.01300
968	1	.01300
969	1	.01300
970	1	.01300
971	1	.01300
972	1	.01300
973	1	.01300
974	1	.01300
975	1	.01300
976	1	.01300
977	1	.01300
978	1	.01300
979	1	.01300
980	1	.01300
981	1	.01300
982	1	.01300
983	1	.01300
984	1	.01300
985	1	.01300
986	1	.01300
987	1	.01300
988	1	.01300
989	1	.01300
990	1	.01300
991	1	.01300
992	1	.01300
993	1	.01300
994	1	.01300
995	1	.01300
996	1	.01300
997	1	.01300
998	1	.01300
999	1	.01300
1000	1	.01300
1001	1	.01300
1002	1	.01300
1003	1	.01300
1004	1	.01300
1005	1	.01300
1006	1	.01300
1007	1	.01300
1008	1	.01300
1009	1	.01300
1010	1	.01300
1011	1	.01300
1012	1	.01300
1013	1	.01300
1014	1	.01300
1015	1	.01300
1016	1	.01300
1017	1	.01300
1018	1	.01300
1019	1	.01300
1020	1	.01300
1021	1	.01300
1022	1	.01300
1023	1	.01300
1024	1	.01300
1025	1	.01300
1026	1	.01300
1027	1	.01300
1028	1	.01300
1029	1	.01300
1030	1	.01300
1031	1	.01300
1032	1	.01300
1033	1	.01300
1034	1	.01300
1035	1	.01300
1036	1	.01300
1037	1	.01300
1038	1	.01300
1039	1	.01300
1040	1	.01300
1041	1	.01300
1042	1	.01300
1043	1	.01300
1044	1	.01300
1045	1	.01300
1046	1	.01300
1047	1	.01300
1048	1	.01300
1049	1	.01300
1050	1	.01300
1051	1	.01300
1052	1	.01300
1053	1	.01300
1054	1	.01300
1055	1	.01300
1056	1	.01300
1057	1	.01300
1058	1	.01300
1059	1	.01300
1060	1	.01300
1061	1	.01300
1062	1	.01300
1063	1	.01300
1064	1	.01300
1065	1	.01300
1066	1	.01300
1067	1	.01300
1068	1	.01300
1069	1	.01300
1070	1	.01300
1071	1	.01300
1072	1	.01300
1073	1	.01300
1074	1	.01300
1075	1	.01300
1076	1	.01300
1077	1	.01300
1078	1	.01300
1079	1	.01300
1080	1	.01300
1081	1	.01300
1082	1	.01300
1083	1	.01300
1084	1	.01300
1085	1	.01300
1086	1	.01300
1087	1	.01300
